,cost,distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,store_forward,vendor,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second
0,10,1.5,40.76902771,-73.95875549,1,40.75179291,-73.97357941,0,1,1,1,5,18,21,46,1,1,5,18,34,37
1,16.5,4.84,40.69484329,-73.95523834,1,40.72956848,-74.00208282,0,2,1,1,26,22,39,36,1,1,26,22,55,50
2,4.5,0.7,40.78927231,-73.97566986,5,40.78114319,-73.98133087,0,2,3,1,21,13,0,26,3,1,21,13,3,49
3,7.5,1.5,40.72352982,-74.01074219,1,40.72735214,-73.9937439,0,1,5,1,9,3,59,34,5,1,9,4,6,38
4,9.5,1.86,40.74180984,-74.00476074,2,40.75907898,-73.98477173,0,2,5,1,9,22,38,6,5,1,9,22,50,28
5,23.5,3.25,40.74934006,-73.97904968,5,40.78269577,-73.98136902,0,2,0,1,25,18,6,15,0,1,25,18,45,46
6,6,0.76,40.73138046,-73.98284912,2,40.7384491,-73.98764801,0,2,4,1,22,19,43,18,4,1,22,19,49,10
7,7.5,1.62,40.75494003,-73.99160004,1,40.73504257,-74.00608826,0,2,5,1,16,15,27,58,5,1,16,15,35,23
8,8.5,1.18,40.75447845,-73.998703,1,40.74662018,-73.98048401,0,2,4,1,8,14,53,48,4,1,8,15,4,18
9,6.5,1.13,40.77307892,-73.93005371,4,40.76628113,-73.92032623,0,2,5,1,23,2,48,29,5,1,23,2,55,51
10,24,6.7,40.70029449,-74.01607513,1,40.76578903,-73.96749878,0,1,2,1,20,10,42,35,2,1,20,11,4,10
11,16,3.96,40.80278397,-73.96765137,1,40.76042938,-73.96781158,0,2,0,1,25,19,54,10,0,1,25,20,14,11
12,29,9.5,40.79033279,-73.96782684,1,40.76941299,-73.86296844,0,1,4,1,15,23,13,7,4,1,15,23,36,15
13,8,1.2,40.73908997,-73.9768219,2,40.74108505,-73.99407959,0,2,4,1,8,14,38,47,4,1,8,14,48,30
14,8,1.35,40.81406021,-73.96025085,1,40.80075836,-73.95770264,0,2,5,1,16,18,6,50,5,1,16,18,14,42
15,9,1.6,40.74691391,-73.98677063,1,40.7625618,-73.97058868,0,1,4,1,29,23,42,23,4,1,29,23,53,33
16,7.5,1.6,40.7694664,-73.96481323,1,40.74979401,-73.97490692,0,1,2,1,27,20,45,33,2,1,27,20,53,58
17,5,0.5,40.7393074,-73.98782349,2,40.73407364,-73.98695374,0,1,3,1,14,18,21,20,3,1,14,18,25,55
18,8,1.3,40.75854874,-73.99616241,1,40.74409866,-73.9996109,0,1,5,1,2,19,15,56,5,1,2,19,24,45
19,4.5,0.5,40.76103973,-73.9813385,1,40.75670624,-73.977005,0,1,0,1,4,7,16,15,0,1,4,7,20,27
20,30.5,9.82,40.77171326,-73.89400482,1,40.68594742,-73.99098969,0,2,3,1,28,0,39,5,3,1,28,1,2,33
21,26,6.8,40.65772247,-73.95687103,1,40.74262238,-73.98451996,0,1,2,1,6,19,17,20,2,1,6,19,50,25
22,10.5,2,40.7530098,-73.97747803,2,40.76402664,-73.95407104,0,1,4,1,15,18,6,35,4,1,15,18,20,45
23,8,1.37,40.75453949,-73.99099731,2,40.74213791,-73.98920441,0,2,5,1,30,17,32,31,5,1,30,17,41,35
24,13.5,3.1,40.76418304,-73.95858002,1,40.7300148,-73.98944855,0,1,6,1,24,20,12,27,6,1,24,20,30,3
25,8.5,1.62,40.71498871,-74.01396942,1,40.70502853,-74.00717926,0,2,4,1,8,9,17,0,4,1,8,9,26,9
26,12,2.85,40.8233223,-73.94277954,1,40.79418182,-73.93979645,0,2,3,1,14,6,38,12,3,1,14,6,51,39
27,14.5,3.8,40.72000885,-74.00995636,1,40.7570076,-73.98978424,0,1,4,1,29,22,50,8,4,1,29,23,6,6
28,52,15.7,40.7653656,-73.97524261,2,40.67363358,-73.80134583,1,1,2,1,6,15,24,9,2,1,6,16,12,28
29,15.5,3.73,40.80112839,-73.96778107,1,40.76296997,-73.97384644,0,2,2,1,6,11,51,5,2,1,6,12,11,44
30,7,1.36,40.72925949,-73.97814178,2,40.73347855,-73.99919128,0,2,0,1,18,20,7,18,0,1,18,20,14,47
31,4.5,0.6,40.74569321,-73.97806549,1,40.74974442,-73.98763275,0,1,2,1,13,18,59,6,2,1,13,19,2,40
32,4.5,0.69,40.71260834,-74.00958252,1,40.70568848,-74.00983429,0,2,6,1,10,16,44,55,6,1,10,16,48,55
33,8,1.47,40.76240158,-73.98973846,2,40.78158951,-73.98082733,0,2,6,1,3,13,46,39,6,1,3,13,54,36
34,9,1.8,40.7501297,-73.99461365,1,40.75751114,-73.97203827,0,1,4,1,8,20,19,29,4,1,8,20,30,6
35,5.5,0.69,40.75865936,-74.00348663,4,40.75222778,-74.00455475,0,2,0,1,11,10,54,56,0,1,11,11,0,3
